Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PREFIX_ID,,,,2023-08-28 13:51:19,2023-08-28 13:52:23,1m - 4.336s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0811 Halo,,,,2023-08-28 13:51:19,2023-08-28 13:51:23,4.006s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:20,2023-08-28 13:51:20,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:20,2023-08-28 13:51:20,0.008s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:20,2023-08-28 13:51:20,0.000s,PASSED
"randomNumber = ""0811"" + lastNineDigits",,,,2023-08-28 13:51:20,2023-08-28 13:51:20,0.005s,PASSED
return randomNumber,,,,2023-08-28 13:51:20,2023-08-28 13:51:20,0.003s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:20,2023-08-28 13:51:23,3.479s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0812 Telkomsel,,,,2023-08-28 13:51:23,2023-08-28 13:51:25,1.770s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:24,2023-08-28 13:51:24,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:24,2023-08-28 13:51:24,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:24,2023-08-28 13:51:24,0.000s,PASSED
"randomNumber = ""0812"" + lastNineDigits",,,,2023-08-28 13:51:24,2023-08-28 13:51:24,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:24,2023-08-28 13:51:24,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:24,2023-08-28 13:51:25,1.368s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0813 Telkomsel,,,,2023-08-28 13:51:25,2023-08-28 13:51:27,1.758s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:25,2023-08-28 13:51:25,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:25,2023-08-28 13:51:25,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:25,2023-08-28 13:51:25,0.004s,PASSED
"randomNumber = ""0813"" + lastNineDigits",,,,2023-08-28 13:51:25,2023-08-28 13:51:25,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:25,2023-08-28 13:51:25,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:25,2023-08-28 13:51:27,1.354s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0814 Indosat M2,,,,2023-08-28 13:51:27,2023-08-28 13:51:28,1.593s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:27,2023-08-28 13:51:27,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:27,2023-08-28 13:51:27,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:27,2023-08-28 13:51:27,0.000s,PASSED
"randomNumber = ""0814"" + lastNineDigits",,,,2023-08-28 13:51:27,2023-08-28 13:51:27,0.003s,PASSED
return randomNumber,,,,2023-08-28 13:51:27,2023-08-28 13:51:27,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:27,2023-08-28 13:51:28,1.253s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0815 Indosat Mentari,,,,2023-08-28 13:51:28,2023-08-28 13:51:30,1.770s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:29,2023-08-28 13:51:29,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:29,2023-08-28 13:51:29,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:29,2023-08-28 13:51:29,0.000s,PASSED
